;Manchete;Link
30;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
31;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
32;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
33;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
34;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
35;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
36;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
37;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
38;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
39;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
40;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
41;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
42;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
43;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
44;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
45;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
46;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
47;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
48;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
49;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
50;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
51;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
52;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
53;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
54;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
55;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
56;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
57;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
58;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
59;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
60;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
61;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
62;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
63;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
64;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
65;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
66;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
67;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
68;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
69;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
70;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
71;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
72;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
73;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
74;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
75;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
76;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
77;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
78;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
79;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
80;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
81;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
82;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
83;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
84;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
85;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
86;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
87;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
88;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
89;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
90;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
91;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
92;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
93;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
94;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
95;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
96;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
97;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
98;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
99;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
100;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
101;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
102;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
103;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
104;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
105;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
106;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
107;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
108;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
109;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
110;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
111;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
112;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
113;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
114;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
115;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
116;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
117;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
118;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
119;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
120;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
121;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
122;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
123;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
124;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
125;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
126;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
127;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
128;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
129;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
130;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
131;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
132;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
133;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
134;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
135;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
136;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
137;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
138;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
139;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
140;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
141;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
142;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
143;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
144;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
145;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
146;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
147;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
148;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
149;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
150;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
151;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
152;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
153;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
154;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
155;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
156;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
157;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
158;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
159;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
160;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
161;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
162;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
163;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
164;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
165;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
166;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
167;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
168;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
169;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
170;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
171;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
172;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
173;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
174;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
175;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
176;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
177;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
178;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
179;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
180;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
181;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
182;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
183;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
184;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
185;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
186;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
187;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
188;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
189;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
190;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
191;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
192;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
193;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
194;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
195;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
196;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
197;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
198;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
199;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
200;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
201;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
202;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
203;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
204;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
205;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
